Customer ID,Customer Name,Email,Phone,City,Country,Registration Date
1,Frederick Lalla,samichaitaly@example.org,1558906356,Gwalior,Vietnam,1998-10-05
2,George Bhat,gagan57@example.net,3798061358,Bhiwani,Venezuela,1973-04-02
3,Sanya Bali,agastyasolanki@example.net,0937502450,Indore,Saint Lucia,2016-09-21
4,Falan Karan,mananbaral@example.net,1050692770,Berhampur,Kuwait,2019-11-17
5,Maanav Mohanty,yochana25@example.com,9822750557,Morbi,Lesotho,1997-08-10
6,Ijaya Sarma,umane@example.net,1234745819,Shahjahanpur,Cambodia,2022-04-24
7,Ekantika Panchal,hgera@example.com,9538004834,Mangalore,Tanzania,2015-10-08
8,Imaran Choudhry,ekalingamuni@example.com,8841989834,Raichur,Fiji,1986-08-12
9,Vidhi Dubey,fpanchal@example.net,1544920065,Bulandshahr,Ukraine,1988-03-30
10,Nikita Bhattacharyya,chameli95@example.org,9177517712,Bathinda,Madagascar,2008-01-05

